Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603_1608Metric",110.300000,-108.450000,0.000000,top
"J1","Qwiic","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",103.330000,-110.000000,-90.000000,top
"J2","Qwiic","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",122.070000,-110.000000,90.000000,top
"J3","I2C_Header","PinHeader_1x04_P2.54mm_Vertical",108.890000,-118.110000,90.000000,top
"R1","10k","R_0603_1608Metric",110.600000,-111.700000,-90.000000,top
"R2","10k","R_0603_1608Metric",114.900000,-111.700000,-90.000000,top
"U1","SHT45-AD1B","Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad",113.200000,-103.500000,-90.000000,top
